gene_name,experiment_ids,allen_gene_ids,entrez_ids,entrez_history,current_entrez_ids,mgi_ids,current_symbols,old_ensembl_id,mgi_candidates,ncbi_candidates,candidate_ids,allen_target_ambiguous,ensembl_ids,rejected_candidates,status
Cpne6,[73769322],[12674],"[""12891""]","[[""12891""]]","[""12891""]","[""MGI:1334445""]","[""Cpne6""]",ENSMUSG00000022212,"[""ENSMUSG00000022212""]","[""ENSMUSG00000022212""]","[""ENSMUSG00000022212""]",False,"[""ENSMUSG00000022212""]",{},one_to_one
Cpne7,[73817432],[66447],"[""102278""]","[[""102278""]]","[""102278""]","[""MGI:2142747""]","[""Cpne7""]",ENSMUSG00000034796,"[""ENSMUSG00000034796""]","[""ENSMUSG00000034796""]","[""ENSMUSG00000034796""]",False,"[""ENSMUSG00000034796""]",{},one_to_one
Cpne8,[73520974],[42714],"[""66871""]","[[""66871""]]","[""66871""]","[""MGI:1914121""]","[""Cpne8""]",ENSMUSG00000052560,"[""ENSMUSG00000052560""]","[""ENSMUSG00000052560""]","[""ENSMUSG00000052560""]",False,"[""ENSMUSG00000052560""]",{},one_to_one
Cpt1a,[1478],[12677],"[""12894""]","[[""12894""]]","[""12894""]","[""MGI:1098296""]","[""Cpt1a""]",ENSMUSG00000024900,"[""ENSMUSG00000024900""]","[""ENSMUSG00000024900""]","[""ENSMUSG00000024900""]",False,"[""ENSMUSG00000024900""]",{},one_to_one
Cpt1c,[2117],[53910],"[""78070""]","[[""78070""]]","[""78070""]","[""MGI:2446526""]","[""Cpt1c""]",ENSMUSG00000007783,"[""ENSMUSG00000007783""]","[""ENSMUSG00000007783""]","[""ENSMUSG00000007783""]",False,"[""ENSMUSG00000007783""]",{},one_to_one
Cr1l,[2125],[12729],"[""12946""]","[[""12946""]]","[""12946""]","[""MGI:88513""]","[""Cr1l""]",ENSMUSG00000016481,"[""ENSMUSG00000016481""]","[""ENSMUSG00000016481""]","[""ENSMUSG00000016481""]",False,"[""ENSMUSG00000016481""]",{},one_to_one
Crabp1,[1179],[12686],"[""12903""]","[[""12903""]]","[""12903""]","[""MGI:88490""]","[""Crabp1""]",ENSMUSG00000032291,"[""ENSMUSG00000032291""]","[""ENSMUSG00000032291""]","[""ENSMUSG00000032291""]",False,"[""ENSMUSG00000032291""]",{},one_to_one
Crat,[2119],[12691],"[""12908""]","[[""12908""]]","[""12908""]","[""MGI:109501""]","[""Crat""]",ENSMUSG00000026853,"[""ENSMUSG00000026853""]","[""ENSMUSG00000026853""]","[""ENSMUSG00000026853""]",False,"[""ENSMUSG00000026853""]",{},one_to_one
Creb3l1,[112197858],[26175],"[""26427""]","[[""26427""]]","[""26427""]","[""MGI:1347062""]","[""Creb3l1""]",ENSMUSG00000027230,"[""ENSMUSG00000027230""]","[""ENSMUSG00000027230""]","[""ENSMUSG00000027230""]",False,"[""ENSMUSG00000027230""]",{},one_to_one
Creg1,[73931627],[129959],"[""433375""]","[[""433375""]]","[""433375""]","[""MGI:1344382""]","[""Creg1""]",ENSMUSG00000040713,"[""ENSMUSG00000040713""]","[""ENSMUSG00000040713""]","[""ENSMUSG00000040713""]",False,"[""ENSMUSG00000040713""]",{},one_to_one
Creg2,[74882195],[92232],"[""263764""]","[[""263764""]]","[""263764""]","[""MGI:1928333""]","[""Creg2""]",ENSMUSG00000050967,"[""ENSMUSG00000050967""]","[""ENSMUSG00000050967""]","[""ENSMUSG00000050967""]",False,"[""ENSMUSG00000050967""]",{},one_to_one
Crh,[292],[12701],"[""12918""]","[[""12918""]]","[""12918""]","[""MGI:88496""]","[""Crh""]",ENSMUSG00000049796,"[""ENSMUSG00000049796""]","[""ENSMUSG00000049796""]","[""ENSMUSG00000049796""]",False,"[""ENSMUSG00000049796""]",{},one_to_one
Crhbp,[80516310],[12702],"[""12919""]","[[""12919""]]","[""12919""]","[""MGI:88497""]","[""Crhbp""]",ENSMUSG00000021680,"[""ENSMUSG00000021680""]","[""ENSMUSG00000021680""]","[""ENSMUSG00000021680""]",False,"[""ENSMUSG00000021680""]",{},one_to_one
Crhr1,[297],[12704],"[""12921""]","[[""12921""]]","[""12921""]","[""MGI:88498""]","[""Crhr1""]",ENSMUSG00000018634,"[""ENSMUSG00000018634""]","[""ENSMUSG00000018634""]","[""ENSMUSG00000018634""]",False,"[""ENSMUSG00000018634""]",{},one_to_one
Crhr2,[79907934],[12705],"[""12922""]","[[""12922""]]","[""12922""]","[""MGI:894312""]","[""Crhr2""]",ENSMUSG00000003476,"[""ENSMUSG00000003476""]","[""ENSMUSG00000003476""]","[""ENSMUSG00000003476""]",False,"[""ENSMUSG00000003476""]",{},one_to_one
Crim1,[72283807],[30254],"[""50766""]","[[""50766""]]","[""50766""]","[""MGI:1354756""]","[""Crim1""]",ENSMUSG00000024074,"[""ENSMUSG00000024074""]","[""ENSMUSG00000024074""]","[""ENSMUSG00000024074""]",False,"[""ENSMUSG00000024074""]",{},one_to_one
Crip2,[70612727],[44179],"[""68337""]","[[""68337""]]","[""68337""]","[""MGI:1915587""]","[""Crip2""]",ENSMUSG00000006356,"[""ENSMUSG00000006356""]","[""ENSMUSG00000006356""]","[""ENSMUSG00000006356""]",False,"[""ENSMUSG00000006356""]",{},one_to_one
Crispld1,[72077456],[57933],"[""83691""]","[[""83691""]]","[""83691""]","[""MGI:1934666""]","[""Crispld1""]",ENSMUSG00000025776,"[""ENSMUSG00000025776""]","[""ENSMUSG00000025776""]","[""ENSMUSG00000025776""]",False,"[""ENSMUSG00000025776""]",{},one_to_one
Crlf1,[72283808],[12714],"[""12931""]","[[""12931""]]","[""12931""]","[""MGI:1340030""]","[""Crlf1""]",ENSMUSG00000007888,"[""ENSMUSG00000007888""]","[""ENSMUSG00000007888""]","[""ENSMUSG00000007888""]",False,"[""ENSMUSG00000007888""]",{},one_to_one
Crlf2,[1882],[37185],"[""57914""]","[[""57914""]]","[""57914""]","[""MGI:1889506""]","[""Crlf2""]",ENSMUSG00000033467,"[""ENSMUSG00000033467""]","[""ENSMUSG00000033467""]","[""ENSMUSG00000033467""]",False,"[""ENSMUSG00000033467""]",{},one_to_one
Crlf3,[112195365],[33685],"[""54394""]","[[""54394""]]","[""54394""]","[""MGI:1860086""]","[""Crlf3""]",ENSMUSG00000017561,"[""ENSMUSG00000017561""]","[""ENSMUSG00000017561""]","[""ENSMUSG00000017561""]",False,"[""ENSMUSG00000017561""]",{},one_to_one
Crls1,[1148],[42429],"[""66586""]","[[""66586""]]","[""66586""]","[""MGI:1913836""]","[""Crls1""]",ENSMUSG00000027357,"[""ENSMUSG00000027357""]","[""ENSMUSG00000027357""]","[""ENSMUSG00000027357""]",False,"[""ENSMUSG00000027357""]",{},one_to_one
Crtac1,[75749739],[48673],"[""72832""]","[[""72832""]]","[""72832""]","[""MGI:1920082""]","[""Crtac1""]",ENSMUSG00000042401,"[""ENSMUSG00000042401""]","[""ENSMUSG00000042401""]","[""ENSMUSG00000042401""]",False,"[""ENSMUSG00000042401""]",{},one_to_one
Crtc1,[71250309],[120517],"[""382056""]","[[""382056""]]","[""382056""]","[""MGI:2142523""]","[""Crtc1""]",ENSMUSG00000003575,"[""ENSMUSG00000003575""]","[""ENSMUSG00000003575""]","[""ENSMUSG00000003575""]",False,"[""ENSMUSG00000003575""]",{},one_to_one
Cry2,[302],[12736],"[""12953""]","[[""12953""]]","[""12953""]","[""MGI:1270859""]","[""Cry2""]",ENSMUSG00000068742,"[""ENSMUSG00000068742""]","[""ENSMUSG00000068742""]","[""ENSMUSG00000068742""]",False,"[""ENSMUSG00000068742""]",{},one_to_one
Cryaa,[2127],[12737],"[""12954""]","[[""12954""]]","[""12954""]","[""MGI:88515""]","[""Cryaa""]",ENSMUSG00000024041,"[""ENSMUSG00000024041""]","[""ENSMUSG00000024041""]","[""ENSMUSG00000024041""]",False,"[""ENSMUSG00000024041""]",{},one_to_one
Cryab,[74357575],[12738],"[""12955""]","[[""12955""]]","[""12955""]","[""MGI:88516""]","[""Cryab""]",ENSMUSG00000032060,"[""ENSMUSG00000032060""]","[""ENSMUSG00000032060""]","[""ENSMUSG00000032060""]",False,"[""ENSMUSG00000032060""]",{},one_to_one
Crym,[73592526],[12754],"[""12971""]","[[""12971""]]","[""12971""]","[""MGI:102675""]","[""Crym""]",ENSMUSG00000030905,"[""ENSMUSG00000030905""]","[""ENSMUSG00000030905""]","[""ENSMUSG00000030905""]",False,"[""ENSMUSG00000030905""]",{},one_to_one
Cryzl1,[304],[42452],"[""66609""]","[[""66609""]]","[""66609""]","[""MGI:1913859""]","[""Cryzl1""]",ENSMUSG00000058240,"[""ENSMUSG00000058240""]","[""ENSMUSG00000058240""]","[""ENSMUSG00000058240""]",False,"[""ENSMUSG00000058240""]",{},one_to_one
Cs,[74658130],[12757],"[""12974""]","[[""12974""]]","[""12974""]","[""MGI:88529""]","[""Cs""]",ENSMUSG00000005469,"[""ENSMUSG00000005683""]","[""ENSMUSG00000005683""]","[""ENSMUSG00000005469"", ""ENSMUSG00000005683""]",False,"[""ENSMUSG00000005683""]","{""ENSMUSG00000005469"": ""MGI_identity_not_confirmed""}",one_to_one
Csdc2,"[70634234, 77887884]",[70024],"[""105859""]","[[""105859""]]","[""105859""]","[""MGI:2146027""]","[""Csdc2""]",ENSMUSG00000042109,"[""ENSMUSG00000042109""]","[""ENSMUSG00000042109""]","[""ENSMUSG00000042109""]",False,"[""ENSMUSG00000042109""]",{},one_to_one
